Date,d
2019-05-13,265.13433837890625
2019-05-14,267.5320739746094
2019-05-15,269.0990905761719
2019-05-16,271.59136962890625
2019-05-17,269.8354797363281
2019-05-20,268.05133056640625
2019-05-21,270.4680480957031
2019-05-22,269.6372985839844
2019-05-23,266.3426818847656
2019-05-24,266.94683837890625
2019-05-28,264.4640808105469
2019-05-29,262.6893310546875
2019-05-30,263.40679931640625
2019-05-31,259.8572998046875
2019-06-03,259.196533203125
2019-06-04,264.8227844238281
2019-06-05,267.1167907714844
2019-06-06,268.85369873046875
2019-06-07,271.54412841796875
2019-06-10,272.79022216796875
2019-06-11,272.72418212890625
2019-06-12,272.24273681640625
2019-06-13,273.3660583496094
2019-06-14,273.0640563964844
2019-06-17,273.1678771972656
2019-06-18,276.0281982421875
2019-06-19,276.6512451171875
2019-06-20,279.2944641113281
2019-06-21,278.8884582519531
2019-06-24,278.5470275878906
2019-06-25,275.81500244140625
2019-06-26,275.53985595703125
2019-06-27,276.5169677734375
2019-06-28,277.93988037109375
2019-07-01,280.46319580078125
2019-07-02,281.1935729980469
2019-07-03,283.4417724609375
2019-07-05,283.1192321777344
2019-07-08,281.5635070800781
2019-07-09,281.91455078125
2019-07-10,283.261474609375
2019-07-11,283.92559814453125
2019-07-12,285.1966552734375
2019-07-15,285.29150390625
2019-07-16,284.371337890625
2019-07-17,282.43621826171875
2019-07-18,283.47021484375
2019-07-19,281.89556884765625
2019-07-22,282.5880432128906
2019-07-23,284.6085510253906
2019-07-24,285.946044921875
2019-07-25,284.580078125
2019-07-26,286.48675537109375
2019-07-29,285.9649963378906
2019-07-30,285.2630615234375
2019-07-31,282.1421813964844
2019-08-01,279.685302734375
2019-08-02,277.57940673828125
2019-08-05,269.231689453125
2019-08-06,273.00714111328125
2019-08-07,273.16845703125
2019-08-08,278.52801513671875
2019-08-09,276.6307678222656
2019-08-12,273.2633056640625
2019-08-13,277.512939453125
2019-08-14,269.3076171875
2019-08-15,270.0190734863281
2019-08-16,274.0032043457031
2019-08-19,277.3042907714844
2019-08-20,275.1794738769531
2019-08-21,277.4181823730469
2019-08-22,277.33270263671875
2019-08-23,270.2087707519531
2019-08-26,273.1968688964844
2019-08-27,272.1249694824219
2019-08-28,274.0411071777344
2019-08-29,277.5414123535156
2019-08-30,277.4181823730469
2019-09-03,275.7960510253906
2019-09-04,278.92645263671875
2019-09-05,282.51214599609375
2019-09-06,282.7303161621094
2019-09-09,282.87261962890625
2019-09-10,282.80615234375
2019-09-11,284.8172302246094
2019-09-12,285.8038024902344
2019-09-13,285.61407470703125
2019-09-16,284.73187255859375
2019-09-17,285.4527893066406
2019-09-18,285.62359619140625
2019-09-19,285.6046142578125
2019-09-20,284.255126953125
2019-09-23,284.18841552734375
2019-09-24,281.95843505859375
2019-09-25,283.6260986328125
2019-09-26,283.0353088378906
2019-09-27,281.510498046875
2019-09-30,282.8161315917969
2019-10-01,279.4520568847656
2019-10-02,274.5156555175781
2019-10-03,276.7647399902344
2019-10-04,280.5099792480469
2019-10-07,279.2996520996094
2019-10-08,274.9635314941406
2019-10-09,277.57476806640625
2019-10-10,279.4520568847656
2019-10-11,282.3492126464844
2019-10-14,282.0346984863281
2019-10-15,284.8269348144531
2019-10-16,284.3695068359375
2019-10-17,285.2081298828125
2019-10-18,283.9597473144531
2019-10-21,285.8847351074219
2019-10-22,284.9508361816406
2019-10-23,285.7799072265625
2019-10-24,286.2468566894531
2019-10-25,287.41900634765625
2019-10-28,289.0390930175781
2019-10-29,288.953369140625
2019-10-30,289.8396301269531
2019-10-31,289.067626953125
2019-11-01,291.74554443359375
2019-11-04,292.917724609375
2019-11-05,292.5937194824219
2019-11-06,292.66046142578125
2019-11-07,293.6896057128906
2019-11-08,294.4139709472656
2019-11-11,293.8516540527344
2019-11-12,294.4710998535156
2019-11-13,294.56640625
2019-11-14,294.9952087402344
2019-11-15,297.1299133300781
2019-11-18,297.34912109375
2019-11-19,297.26336669921875
2019-11-20,296.1578369140625
2019-11-21,295.6813659667969
2019-11-22,296.3388977050781
2019-11-25,298.6356201171875
2019-11-26,299.3122253417969
2019-11-27,300.64642333984375
2019-11-29,299.5314025878906
2019-12-02,296.9869384765625
2019-12-03,294.9952087402344
2019-12-04,296.8154296875
2019-12-05,297.34912109375
2019-12-06,300.0650939941406
2019-12-09,299.12164306640625
2019-12-10,298.7880859375
2019-12-11,299.6362609863281
2019-12-12,302.21881103515625
2019-12-13,302.39990234375
2019-12-16,304.4773864746094
2019-12-17,304.5440673828125
2019-12-18,304.5631408691406
2019-12-19,305.8115234375
2019-12-20,307.15228271484375
2019-12-23,307.6215515136719
2019-12-24,307.6311340332031
2019-12-26,309.2687072753906
2019-12-27,309.19207763671875
2019-12-30,307.48748779296875
2019-12-31,308.23443603515625
2020-01-02,311.1170349121094
2020-01-03,308.7611389160156
2020-01-06,309.9391174316406
2020-01-07,309.06768798828125
2020-01-08,310.71478271484375
2020-01-09,312.8216552734375
2020-01-10,311.9214172363281
2020-01-13,314.0666198730469
2020-01-14,313.58782958984375
2020-01-15,314.2964782714844
2020-01-16,316.9109191894531
2020-01-17,317.8973083496094
2020-01-21,317.27484130859375
2020-01-22,317.3131103515625
2020-01-23,317.67706298828125
2020-01-24,314.8518981933594
2020-01-27,309.8050537109375
2020-01-28,313.0515441894531
2020-01-29,312.79296875
2020-01-30,313.8080139160156
2020-01-31,308.1100158691406
2020-02-03,310.3988037109375
2020-02-04,315.129638671875
2020-02-05,318.768798828125
2020-02-06,319.8414001464844
2020-02-07,318.1367492675781
2020-02-10,320.51177978515625
2020-02-11,321.06719970703125
2020-02-12,323.1357727050781
2020-02-13,322.7909851074219
2020-02-14,323.3081970214844
2020-02-18,322.4750061035156
2020-02-19,324.0168151855469
2020-02-20,322.6856384277344
2020-02-21,319.362548828125
2020-02-24,308.7707214355469
2020-02-25,299.41436767578125
2020-02-26,298.31304931640625
2020-02-27,284.9153137207031
2020-02-28,283.7182312011719
2020-03-02,296.0050964355469
2020-03-03,287.5296630859375
2020-03-04,299.61541748046875
2020-03-05,289.65570068359375
